decode,arm,split,metric,seed19521011,seed19521012,seed19521013,seed19521014,seed19521015,seed19521016,seed19521017,seed19521018,seed19521019,seed19521020,seed19521021,seed19521022,seed19521023,seed19521024,seed19521025,mean
standard,no_time,test,wrong_merge_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,test,fragmentation_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,test,impossible_transition_rate,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,test,dangling_precision,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
standard,no_time,test,dangling_recall,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
revive,no_rel,dev,f1,-0.013649,+0.034252,-0.035950,+0.051928,+0.033023,+0.004476,-0.041295,-0.248416,+0.019068,-0.076260,-0.003012,-0.080891,-0.161930,-0.003780,-0.037382,-0.037321
revive,no_rel,dev,precision,-0.021865,+0.051355,-0.051326,+0.031365,+0.050920,-0.011103,+0.034242,-0.189161,+0.002414,-0.019230,+0.023721,+0.001999,-0.050748,-0.005947,-0.003950,-0.010488
revive,no_rel,dev,recall,-0.004740,+0.025829,-0.027922,+0.050437,+0.024066,+0.009427,-0.050715,-0.200970,+0.021297,-0.077047,-0.010008,-0.078450,-0.146888,-0.002411,-0.035127,-0.033548
revive,no_rel,dev,wrong_merge_rate,-0.033810,-0.026022,+0.035436,-0.055229,-0.053050,+0.001872,-0.063837,+0.075205,-0.029326,+0.003902,-0.049173,-0.029131,-0.020872,+0.014598,-0.036210,-0.017710
revive,no_rel,dev,fragmentation_rate,+0.007672,-0.034151,+0.036630,-0.023328,-0.021672,-0.027712,-0.012084,+0.067671,-0.039289,-0.020988,-0.008683,-0.016972,+0.016292,-0.021831,-0.039984,-0.009229
revive,no_rel,dev,impossible_transition_rate,-0.020898,-0.016014,+0.013362,-0.038822,-0.019894,+0.009544,-0.022486,+0.063144,-0.021380,+0.000864,-0.021301,-0.013242,-0.033644,-0.002302,-0.033529,-0.010440
revive,no_rel,dev,dangling_precision,+0.043352,-0.046047,-0.031953,+0.123140,-0.014249,+0.054843,-0.182144,-0.166397,+0.013753,-0.214263,-0.074959,-0.171534,-0.223578,-0.118337,-0.092350,-0.073381
revive,no_rel,dev,dangling_recall,-0.004613,+0.007238,+0.024997,-0.029576,+0.009855,-0.002618,+0.029486,+0.209132,-0.004818,+0.066173,+0.008417,+0.081958,+0.158221,+0.021279,+0.107492,+0.045508
revive,no_rel,test,f1,+0.004147,-0.026903,-0.040557,+0.055438,-0.033601,-0.021230,-0.039464,-0.188079,+0.047970,-0.059072,+0.026207,-0.107861,-0.129157,+0.014285,-0.033932,-0.035454
revive,no_rel,test,precision,+0.023555,-0.006246,-0.045329,+0.016650,-0.000805,-0.056120,+0.058261,-0.100808,+0.070623,-0.001757,+0.054690,-0.023897,-0.046843,+0.023963,+0.042926,+0.000591
