variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521011,dev,0.0,113,13,0.6153846153846154,0.07079646017699115,0.12698412698412698,0.225,1.0265486725663717,0.7234375,0.2765625,640,177,0.2087378640776699,0.8958333333333334,48,206,40,9,sec_dev_0000
m3_full,19521011,dev,0.7,113,42,0.5476190476190477,0.20353982300884957,0.29677419354838713,0.32456140350877194,1.2212389380530972,0.6948640483383686,0.30513595166163143,1986,606,0.4375,0.5833333333333334,48,64,114,37,sec_dev_0000
m3_full,19521011,dev,0.0,111,13,0.6923076923076923,0.08108108108108109,0.14516129032258066,0.5652173913043478,0.972972972972973,0.6380255941499087,0.3619744058500914,547,198,0.20930232558139536,0.9,50,215,23,13,sec_dev_0001
m3_full,19521011,dev,0.7,111,35,0.6857142857142857,0.21621621621621623,0.32876712328767127,0.391304347826087,1.0990990990990992,0.6684334511189635,0.33156654888103654,1698,563,0.34408602150537637,0.64,50,93,92,36,sec_dev_0001
m3_full,19521011,dev,0.0,112,5,0.6,0.026785714285714284,0.05128205128205128,0.18181818181818182,0.9732142857142857,0.7396449704142012,0.2603550295857988,169,44,0.1843137254901961,0.9591836734693877,49,255,11,2,sec_dev_0002
m3_full,19521011,dev,0.7,112,34,0.5,0.15178571428571427,0.2328767123287671,0.3,1.1160714285714286,0.6703703703703704,0.3296296296296296,1350,445,0.26153846153846155,0.6938775510204082,49,130,80,24,sec_dev_0002
m3_full,19521011,dev,0.0,104,5,0.6,0.028846153846153848,0.05504587155963303,0.09090909090909091,0.9903846153846154,0.7388059701492538,0.26119402985074625,268,70,0.23728813559322035,0.9824561403508771,57,236,22,2,sec_dev_0003
m3_full,19521011,dev,0.7,104,37,0.5135135135135135,0.18269230769230768,0.2695035460992907,0.23,1.1538461538461537,0.7024844720496894,0.29751552795031055,1610,479,0.4148936170212766,0.6842105263157895,57,94,100,23,sec_dev_0003
m3_full,19521011,dev,0.0,117,2,1.0,0.017094017094017096,0.033613445378151266,0.0,0.9914529914529915,0.930635838150289,0.06936416184971098,173,12,0.16988416988416988,1.0,44,259,17,0,sec_dev_0004
m3_full,19521011,dev,0.7,117,40,0.65,0.2222222222222222,0.33121019108280253,0.22,1.0769230769230769,0.7228395061728394,0.2771604938271605,1620,449,0.29245283018867924,0.7045454545454546,44,106,100,22,sec_dev_0004
m3_full,19521011,dev,0.0,121,13,0.7692307692307693,0.08264462809917356,0.14925373134328357,0.125,0.9504132231404959,0.7542735042735043,0.24572649572649571,468,115,0.16379310344827586,0.95,40,232,32,4,sec_dev_0005
m3_full,19521011,dev,0.7,121,35,0.6,0.17355371900826447,0.2692307692307693,0.2897196261682243,1.165289256198347,0.6862521391899601,0.3137478608100399,1753,550,0.3229166666666667,0.775,40,96,107,31,sec_dev_0005
m3_full,19521011,dev,0.0,106,9,0.6666666666666666,0.05660377358490566,0.10434782608695653,0.22727272727272727,0.9622641509433962,0.7959770114942528,0.20402298850574713,348,71,0.21739130434782608,0.9090909090909091,55,230,22,5,sec_dev_0006
m3_full,19521011,dev,0.7,106,34,0.6470588235294118,0.20754716981132076,0.3142857142857143,0.26136363636363635,1.0471698113207548,0.7210051546391752,0.27899484536082475,1552,433,0.33980582524271846,0.6363636363636364,55,103,88,23,sec_dev_0006
m3_full,19521011,dev,0.0,107,7,0.5714285714285714,0.037383177570093455,0.07017543859649122,0.16,0.9906542056074766,0.7746031746031746,0.2253968253968254,315,71,0.2094017094017094,0.9074074074074074,54,234,25,4,sec_dev_0007
m3_full,19521011,dev,0.7,107,40,0.6,0.22429906542056074,0.326530612244898,0.24719101123595505,1.0373831775700935,0.6816143497757847,0.3183856502242152,1561,497,0.34951456310679613,0.6666666666666666,54,103,89,22,sec_dev_0007
m3_full,19521011,dev,0.0,109,8,0.75,0.05504587155963303,0.10256410256410257,0.1,0.944954128440367,0.7655172413793103,0.23448275862068965,290,68,0.200836820083682,0.9230769230769231,52,239,20,2,sec_dev_0008
m3_full,19521011,dev,0.7,109,36,0.6666666666666666,0.22018348623853212,0.33103448275862074,0.25316455696202533,0.9908256880733946,0.6840253342716397,0.3159746657283603,1421,449,0.275,0.6346153846153846,52,120,79,20,sec_dev_0008
m3_full,19521011,dev,0.0,110,17,0.9411764705882353,0.14545454545454545,0.25196850393700787,0.125,0.8818181818181818,0.7918032786885246,0.2081967213114754,610,127,0.21844660194174756,0.8823529411764706,51,206,40,5,sec_dev_0009
m3_full,19521011,dev,0.7,110,44,0.7272727272727273,0.2909090909090909,0.4155844155844156,0.2037037037037037,0.9636363636363636,0.7482876712328768,0.2517123287671233,1752,441,0.3411764705882353,0.5686274509803921,51,85,108,22,sec_dev_0009
