analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df0,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006
primary,no_src,dev,dangling_recall,-0.0225,-,YES,n/a,n/a,n/a,n_gold_dangling,51.1,51.1,+0.0119,no,-0.0225
primary,no_motion,test,precision,+0.0268,+,YES,n/a,n/a,n/a,n_pred_matches,31.2,27.7,-0.0076,no,+0.0268
primary,no_time,test,precision,+0.0318,+,YES,n/a,n/a,n/a,n_pred_matches,23.7,27.7,+0.0031,no,+0.0318
primary,no_state,test,precision,-0.0429,-,YES,n/a,n/a,n/a,n_pred_matches,21.5,27.7,+0.0025,no,-0.0429
primary,no_rel,test,precision,+0.0128,+,YES,n/a,n/a,n/a,n_pred_matches,29.5,27.7,+0.0080,no,+0.0128
primary,no_src,test,precision,+0.0078,+,YES,n/a,n/a,n/a,n_pred_matches,27.3,27.7,-0.0013,no,+0.0078
primary,no_motion,test,recall,+0.0348,+,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0227,YES,+0.0348
primary,no_time,test,recall,-0.0132,-,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0008,no,-0.0132
primary,no_state,test,recall,-0.0456,-,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0143,no,-0.0456
primary,no_rel,test,recall,+0.0170,+,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0041,no,+0.0170
primary,no_src,test,recall,+0.0036,+,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0147,no,+0.0036
primary,no_motion,test,f1,+0.0449,+,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0203,YES,+0.0449
primary,no_time,test,f1,-0.0153,-,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0001,no,-0.0153
primary,no_state,test,f1,-0.0633,-,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0111,no,-0.0633
primary,no_rel,test,f1,+0.0216,+,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0014,no,+0.0216
primary,no_src,test,f1,+0.0049,+,YES,n/a,n/a,n/a,—,n/a,n/a,-0.0123,no,+0.0049
primary,no_motion,test,wrong_merge_rate,-0.0257,-,YES,n/a,n/a,n/a,n_pred_identities,n/a,n/a,+0.0024,no,-0.0257
primary,no_time,test,wrong_merge_rate,-0.0192,-,YES,n/a,n/a,n/a,n_pred_identities,n/a,n/a,-0.0087,no,-0.0192
primary,no_state,test,wrong_merge_rate,+0.0147,+,YES,n/a,n/a,n/a,n_pred_identities,n/a,n/a,-0.0026,no,+0.0147
primary,no_rel,test,wrong_merge_rate,-0.0054,-,YES,n/a,n/a,n/a,n_pred_identities,n/a,n/a,-0.0054,no,-0.0054
primary,no_src,test,wrong_merge_rate,-0.0108,-,YES,n/a,n/a,n/a,n_pred_identities,n/a,n/a,-0.0080,no,-0.0108
primary,no_motion,test,fragmentation_rate,-0.0041,-,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,+0.0238,YES,-0.0041
primary,no_time,test,fragmentation_rate,-0.0217,-,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,+0.0079,no,-0.0217
primary,no_state,test,fragmentation_rate,+0.0296,+,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0045,no,+0.0296
primary,no_rel,test,fragmentation_rate,-0.0074,-,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0005,no,-0.0074
primary,no_src,test,fragmentation_rate,+0.0053,+,YES,n/a,n/a,n/a,n_gold_matches,108.8,108.8,-0.0003,no,+0.0053
primary,no_motion,test,impossible_transition_rate,-0.0288,-,YES,n/a,n/a,n/a,n_transitions,1257.9,1095.9,-0.0007,no,-0.0288
primary,no_time,test,impossible_transition_rate,-0.0248,-,YES,n/a,n/a,n/a,n_transitions,966.5,1095.9,-0.0006,no,-0.0248
primary,no_state,test,impossible_transition_rate,+0.0064,+,YES,n/a,n/a,n/a,n_transitions,916.8,1095.9,+0.0010,no,+0.0064
primary,no_rel,test,impossible_transition_rate,-0.0053,-,YES,n/a,n/a,n/a,n_transitions,1148.5,1095.9,+0.0006,no,-0.0053
primary,no_src,test,impossible_transition_rate,-0.0216,-,YES,n/a,n/a,n/a,n_transitions,1101.5,1095.9,-0.0069,YES,-0.0216
primary,no_motion,test,trajectory_consistency_rate,+0.0288,+,YES,n/a,n/a,n/a,n_transitions,1257.9,1095.9,+0.0007,no,+0.0288
primary,no_time,test,trajectory_consistency_rate,+0.0248,+,YES,n/a,n/a,n/a,n_transitions,966.5,1095.9,+0.0006,no,+0.0248
primary,no_state,test,trajectory_consistency_rate,-0.0064,-,YES,n/a,n/a,n/a,n_transitions,916.8,1095.9,-0.0010,no,-0.0064
primary,no_rel,test,trajectory_consistency_rate,+0.0053,+,YES,n/a,n/a,n/a,n_transitions,1148.5,1095.9,-0.0006,no,+0.0053
primary,no_src,test,trajectory_consistency_rate,+0.0216,+,YES,n/a,n/a,n/a,n_transitions,1101.5,1095.9,+0.0069,YES,+0.0216
primary,no_motion,test,dangling_precision,+0.0265,+,YES,n/a,n/a,n/a,n_pred_dangling,135.8,153.5,-0.0388,no,+0.0265
primary,no_time,test,dangling_precision,-0.0056,-,YES,n/a,n/a,n/a,n_pred_dangling,166.8,153.5,+0.0176,no,-0.0056
primary,no_state,test,dangling_precision,-0.0167,-,YES,n/a,n/a,n/a,n_pred_dangling,172.4,153.5,-0.0611,no,-0.0167
primary,no_rel,test,dangling_precision,+0.0099,+,YES,n/a,n/a,n/a,n_pred_dangling,147.8,153.5,-0.0217,no,+0.0099
primary,no_src,test,dangling_precision,-0.0051,-,YES,n/a,n/a,n/a,n_pred_dangling,152.7,153.5,-0.0684,no,-0.0051
primary,no_motion,test,dangling_recall,-0.0240,-,YES,n/a,n/a,n/a,n_gold_dangling,52.2,52.2,+0.0080,no,-0.0240
primary,no_time,test,dangling_recall,+0.0430,+,YES,n/a,n/a,n/a,n_gold_dangling,52.2,52.2,+0.0030,no,+0.0430
primary,no_state,test,dangling_recall,+0.0377,+,YES,n/a,n/a,n/a,n_gold_dangling,52.2,52.2,+0.0136,no,+0.0377
primary,no_rel,test,dangling_recall,-0.0103,-,YES,n/a,n/a,n/a,n_gold_dangling,52.2,52.2,+0.0083,no,-0.0103
primary,no_src,test,dangling_recall,-0.0184,-,YES,n/a,n/a,n/a,n_gold_dangling,52.2,52.2,+0.0144,YES,-0.0184
