analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
primary,no_state,dev,trajectory_consistency_rate,+0.0133,+,no,0.86,0.4393,0.8155,n_transitions,949.1,1093.3,+0.0067,YES,-0.0106,-0.0247,+0.0372,+0.0049,+0.0597
primary,no_rel,dev,trajectory_consistency_rate,+0.0200,+,no,1.59,0.1864,0.7454,n_transitions,666.3,1093.3,+0.0018,no,-0.0247,+0.0206,+0.0518,+0.0317,+0.0207
primary,no_src,dev,trajectory_consistency_rate,+0.0191,+,no,1.50,0.2087,0.7454,n_transitions,900.6,1093.3,+0.0095,no,+0.0079,+0.0119,-0.0137,+0.0261,+0.0635
primary,no_motion,dev,dangling_precision,-0.0254,-,no,-1.98,0.1189,0.5945,n_pred_dangling,182.1,154.3,-0.0045,no,+0.0204,-0.0172,-0.0433,-0.0526,-0.0345
primary,no_time,dev,dangling_precision,-0.0179,-,no,-1.49,0.2114,0.5945,n_pred_dangling,176.5,154.3,+0.0258,no,-0.0089,+0.0183,-0.0446,-0.0095,-0.0446
primary,no_state,dev,dangling_precision,-0.0196,-,no,-1.70,0.1652,0.5945,n_pred_dangling,169.6,154.3,-0.0460,no,-0.0156,+0.0174,-0.0535,-0.0159,-0.0301
primary,no_rel,dev,dangling_precision,-0.0355,-,no,-1.97,0.1204,0.5945,n_pred_dangling,199.9,154.3,-0.0133,no,+0.0141,-0.0157,-0.0952,-0.0453,-0.0355
primary,no_src,dev,dangling_precision,-0.0147,-,no,-1.85,0.1382,0.5945,n_pred_dangling,174.8,154.3,-0.0401,no,+0.0062,-0.0189,+0.0016,-0.0310,-0.0316
primary,no_motion,dev,dangling_recall,+0.0424,+,no,1.68,0.1676,0.5850,n_gold_dangling,51.1,51.1,-0.0055,no,-0.0541,+0.0579,+0.0443,+0.0813,+0.0825
primary,no_time,dev,dangling_recall,+0.0492,+,no,1.26,0.2758,0.5850,n_gold_dangling,51.1,51.1,+0.0014,no,+0.0087,-0.0596,+0.0860,+0.0373,+0.1735
primary,no_state,dev,dangling_recall,+0.0202,+,no,0.55,0.6103,0.6103,n_gold_dangling,51.1,51.1,+0.0137,no,+0.0051,-0.0634,+0.1125,-0.0510,+0.0980
primary,no_rel,dev,dangling_recall,+0.0890,+,no,1.80,0.1463,0.5850,n_gold_dangling,51.1,51.1,+0.0109,no,-0.0243,+0.0291,+0.2685,+0.0751,+0.0966
primary,no_src,dev,dangling_recall,+0.0375,+,no,2.01,0.1148,0.5741,n_gold_dangling,51.1,51.1,+0.0119,no,-0.0225,+0.0631,+0.0155,+0.0479,+0.0837
primary,no_motion,test,precision,+0.0594,+,YES,4.70,0.0093,0.0467,n_pred_matches,17.8,24.9,-0.0076,no,+0.0268,+0.0879,+0.0315,+0.0710,+0.0797
primary,no_time,test,precision,+0.0023,+,no,0.20,0.8538,1.0000,n_pred_matches,19.6,24.9,+0.0031,no,+0.0318,+0.0077,+0.0099,+0.0034,-0.0410
primary,no_state,test,precision,+0.0023,+,no,0.14,0.8955,1.0000,n_pred_matches,20.2,24.9,+0.0025,no,-0.0429,+0.0245,-0.0249,+0.0466,+0.0081
primary,no_rel,test,precision,+0.0610,+,no,2.30,0.0828,0.3313,n_pred_matches,16.0,24.9,+0.0080,no,+0.0128,+0.1158,+0.1286,-0.0026,+0.0504
primary,no_src,test,precision,+0.0308,+,no,1.99,0.1173,0.3518,n_pred_matches,20.2,24.9,-0.0013,no,+0.0078,+0.0230,-0.0091,+0.0733,+0.0588
