analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
revive,no_rel,test,precision,+0.0136,+,no,1.22,0.2899,1.0000,n_pred_matches,48.0,58.6,+0.0080,no,-0.0128,+0.0506,+0.0037,+0.0006,+0.0258
revive,no_src,test,precision,+0.0326,+,no,1.47,0.2162,1.0000,n_pred_matches,53.4,58.6,-0.0013,no,+0.0634,+0.0052,-0.0211,+0.0129,+0.1027
revive,no_motion,test,recall,-0.0311,-,no,-1.71,0.1633,0.6946,n_gold_matches,108.8,108.8,-0.0227,YES,+0.0281,-0.0798,-0.0175,-0.0551,-0.0309
revive,no_time,test,recall,-0.0228,-,no,-1.09,0.3373,0.6946,n_gold_matches,108.8,108.8,-0.0008,no,+0.0260,-0.0104,-0.0061,-0.0237,-0.1001
revive,no_state,test,recall,-0.0168,-,no,-1.56,0.1935,0.6946,n_gold_matches,108.8,108.8,-0.0143,no,-0.0383,-0.0118,-0.0451,+0.0084,+0.0029
revive,no_rel,test,recall,-0.0571,-,no,-1.84,0.1389,0.6946,n_gold_matches,108.8,108.8,-0.0041,no,+0.0043,-0.0337,-0.1674,-0.0098,-0.0791
revive,no_src,test,recall,-0.0160,-,no,-0.97,0.3860,0.6946,n_gold_matches,108.8,108.8,-0.0147,no,+0.0454,-0.0529,-0.0319,-0.0207,-0.0199
revive,no_motion,test,f1,-0.0252,-,no,-1.33,0.2544,1.0000,—,n/a,n/a,-0.0203,YES,+0.0331,-0.0817,-0.0163,-0.0454,-0.0156
revive,no_time,test,f1,-0.0185,-,no,-0.88,0.4310,1.0000,—,n/a,n/a,-0.0001,no,+0.0356,-0.0124,+0.0008,-0.0234,-0.0930
revive,no_state,test,f1,-0.0135,-,no,-1.13,0.3228,1.0000,—,n/a,n/a,-0.0111,no,-0.0392,-0.0168,-0.0397,+0.0151,+0.0130
revive,no_rel,test,f1,-0.0535,-,no,-1.79,0.1482,0.7409,—,n/a,n/a,-0.0014,no,+0.0002,-0.0237,-0.1613,-0.0083,-0.0741
revive,no_src,test,f1,-0.0088,-,no,-0.49,0.6494,1.0000,—,n/a,n/a,-0.0123,no,+0.0535,-0.0529,-0.0312,-0.0139,+0.0005
revive,no_motion,test,wrong_merge_rate,-0.0250,-,no,-1.83,0.1414,0.5656,n_pred_identities,120.0,124.3,+0.0024,no,-0.0372,-0.0280,+0.0184,-0.0137,-0.0645
revive,no_time,test,wrong_merge_rate,-0.0235,-,no,-1.30,0.2633,0.7899,n_pred_identities,118.0,124.3,-0.0087,no,-0.0315,-0.0092,+0.0132,-0.0003,-0.0898
revive,no_state,test,wrong_merge_rate,-0.0099,-,no,-0.96,0.3922,0.7899,n_pred_identities,123.3,124.3,-0.0026,no,-0.0061,+0.0268,-0.0135,-0.0225,-0.0341
revive,no_rel,test,wrong_merge_rate,-0.0299,-,no,-2.66,0.0561,0.2805,n_pred_identities,109.5,124.3,-0.0054,no,+0.0052,-0.0303,-0.0461,-0.0185,-0.0598
revive,no_src,test,wrong_merge_rate,-0.0148,-,no,-0.91,0.4121,0.7899,n_pred_identities,120.0,124.3,-0.0080,no,-0.0285,+0.0036,+0.0322,-0.0165,-0.0648
revive,no_motion,test,fragmentation_rate,-0.0128,-,no,-0.41,0.7026,1.0000,n_gold_matches,108.8,108.8,+0.0238,YES,-0.0026,-0.0004,+0.0525,+0.0175,-0.1308
revive,no_time,test,fragmentation_rate,-0.0238,-,no,-0.83,0.4554,1.0000,n_gold_matches,108.8,108.8,+0.0079,no,-0.0267,+0.0229,+0.0001,+0.0184,-0.1334
revive,no_state,test,fragmentation_rate,+0.0042,+,no,0.17,0.8763,1.0000,n_gold_matches,108.8,108.8,-0.0045,no,+0.0035,+0.0437,+0.0723,-0.0277,-0.0708
revive,no_rel,test,fragmentation_rate,-0.0363,-,no,-1.30,0.2637,1.0000,n_gold_matches,108.8,108.8,-0.0005,no,+0.0445,-0.0527,-0.0088,-0.0384,-0.1260
revive,no_src,test,fragmentation_rate,-0.0175,-,no,-0.53,0.6230,1.0000,n_gold_matches,108.8,108.8,-0.0003,no,-0.0644,-0.0005,+0.0769,+0.0140,-0.1135
revive,no_motion,test,impossible_transition_rate,-0.0119,-,no,-1.83,0.1406,0.5624,n_transitions,2004.7,2173.6,-0.0007,no,-0.0246,-0.0019,+0.0047,-0.0086,-0.0290
revive,no_time,test,impossible_transition_rate,-0.0087,-,no,-0.84,0.4494,1.0000,n_transitions,2008.0,2173.6,-0.0006,no,-0.0061,+0.0126,-0.0035,+0.0018,-0.0482
revive,no_state,test,impossible_transition_rate,-0.0069,-,no,-0.94,0.3998,1.0000,n_transitions,2108.1,2173.6,+0.0010,no,-0.0042,+0.0185,-0.0092,-0.0133,-0.0264
revive,no_rel,test,impossible_transition_rate,-0.0080,-,YES,-3.58,0.0232,0.1162,n_transitions,1839.7,2173.6,+0.0006,no,-0.0014,-0.0120,-0.0080,-0.0050,-0.0137
revive,no_src,test,impossible_transition_rate,-0.0038,-,no,-0.40,0.7100,1.0000,n_transitions,2041.7,2173.6,-0.0069,YES,-0.0159,+0.0225,+0.0128,-0.0088,-0.0296
revive,no_motion,test,trajectory_consistency_rate,+0.0119,+,no,1.83,0.1406,0.5624,n_transitions,2004.7,2173.6,+0.0007,no,+0.0246,+0.0019,-0.0047,+0.0086,+0.0290
revive,no_time,test,trajectory_consistency_rate,+0.0087,+,no,0.84,0.4494,1.0000,n_transitions,2008.0,2173.6,+0.0006,no,+0.0061,-0.0126,+0.0035,-0.0018,+0.0482
revive,no_state,test,trajectory_consistency_rate,+0.0069,+,no,0.94,0.3998,1.0000,n_transitions,2108.1,2173.6,-0.0010,no,+0.0042,-0.0185,+0.0092,+0.0133,+0.0264
revive,no_rel,test,trajectory_consistency_rate,+0.0080,+,YES,3.58,0.0232,0.1162,n_transitions,1839.7,2173.6,-0.0006,no,+0.0014,+0.0120,+0.0080,+0.0050,+0.0137
revive,no_src,test,trajectory_consistency_rate,+0.0038,+,no,0.40,0.7100,1.0000,n_transitions,2041.7,2173.6,+0.0069,YES,+0.0159,-0.0225,-0.0128,+0.0088,+0.0296
revive,no_motion,test,dangling_precision,-0.0885,-,no,-1.12,0.3253,0.5682,n_pred_dangling,57.4,40.1,-0.0388,no,+0.1122,-0.1666,+0.0894,-0.2105,-0.2668
revive,no_time,test,dangling_precision,-0.0927,-,no,-1.28,0.2699,0.5682,n_pred_dangling,57.2,40.1,+0.0176,no,+0.0407,-0.0052,-0.1158,-0.0192,-0.3641
revive,no_state,test,dangling_precision,-0.0819,-,no,-2.48,0.0684,0.3418,n_pred_dangling,46.7,40.1,-0.0611,no,-0.1352,+0.0234,-0.1360,-0.0308,-0.1308
revive,no_rel,test,dangling_precision,-0.2013,-,no,-1.91,0.1292,0.5169,n_pred_dangling,74.9,40.1,-0.0217,no,+0.1051,-0.1368,-0.5213,-0.1238,-0.3298
revive,no_src,test,dangling_precision,-0.0859,-,no,-1.58,0.1894,0.5682,n_pred_dangling,53.7,40.1,-0.0684,no,+0.0473,-0.1173,+0.0051,-0.0999,-0.2647
revive,no_motion,test,dangling_recall,+0.0395,+,no,2.23,0.0900,0.4502,n_gold_dangling,52.2,52.2,+0.0080,no,+0.0016,+0.0828,-0.0004,+0.0367,+0.0770
revive,no_time,test,dangling_recall,+0.0348,+,no,1.02,0.3634,0.6084,n_gold_dangling,52.2,52.2,+0.0030,no,-0.0085,-0.0074,+0.0159,+0.0046,+0.1695
revive,no_state,test,dangling_recall,+0.0123,+,no,1.52,0.2028,0.6084,n_gold_dangling,52.2,52.2,+0.0136,no,+0.0279,-0.0153,+0.0175,+0.0046,+0.0269
revive,no_rel,test,dangling_recall,+0.0705,+,no,2.19,0.0936,0.4502,n_gold_dangling,52.2,52.2,+0.0083,no,-0.0113,+0.0728,+0.1575,+0.0101,+0.1234
revive,no_src,test,dangling_recall,+0.0255,+,no,1.49,0.2098,0.6084,n_gold_dangling,52.2,52.2,+0.0144,YES,-0.0049,+0.0400,-0.0048,+0.0118,+0.0853
