variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521006,dev,0.0,113,22,0.5909090909090909,0.11504424778761062,0.19259259259259262,0.20987654320987653,1.1327433628318584,0.7522935779816513,0.24770642201834864,1199,297,0.2671232876712329,0.8125,48,146,81,17,sec_dev_0000
m3_full,19521006,dev,0.7,113,55,0.5272727272727272,0.25663716814159293,0.34523809523809523,0.3412698412698413,1.2654867256637168,0.7122854561878953,0.28771454381210476,2214,637,0.775,0.6458333333333334,48,40,126,43,sec_dev_0000
m3_full,19521006,dev,0.0,111,26,0.7692307692307693,0.18018018018018017,0.291970802919708,0.16216216216216217,0.972972972972973,0.7449355432780846,0.2550644567219153,1086,277,0.2564102564102564,0.8,50,156,74,12,sec_dev_0001
m3_full,19521006,dev,0.7,111,64,0.515625,0.2972972972972973,0.3771428571428571,0.3203125,1.1711711711711712,0.6984767025089607,0.3015232974910394,2232,673,0.7222222222222222,0.52,50,36,128,41,sec_dev_0001
m3_full,19521006,dev,0.0,112,28,0.75,0.1875,0.3,0.18181818181818182,0.9107142857142857,0.7088974854932302,0.2911025145067698,1034,301,0.22085889570552147,0.7346938775510204,49,163,66,12,sec_dev_0002
m3_full,19521006,dev,0.7,112,65,0.6615384615384615,0.38392857142857145,0.48587570621468923,0.2809917355371901,0.9910714285714286,0.6958648288128058,0.3041351711871943,2249,684,0.7222222222222222,0.5306122448979592,49,36,121,34,sec_dev_0002
m3_full,19521006,dev,0.0,104,24,0.9166666666666666,0.21153846153846154,0.34374999999999994,0.08771929824561403,0.8653846153846154,0.7469204927211646,0.2530795072788354,893,226,0.25882352941176473,0.7719298245614035,57,170,57,5,sec_dev_0003
m3_full,19521006,dev,0.7,104,60,0.8166666666666667,0.47115384615384615,0.5975609756097561,0.168,0.8942307692307693,0.7350588235294118,0.26494117647058824,2125,563,0.675,0.47368421052631576,57,40,125,21,sec_dev_0003
m3_full,19521006,dev,0.0,117,26,0.5769230769230769,0.1282051282051282,0.2097902097902098,0.2631578947368421,1.0512820512820513,0.7263513513513513,0.27364864864864863,1184,324,0.2236842105263158,0.7727272727272727,44,152,76,20,sec_dev_0004
m3_full,19521006,dev,0.7,117,63,0.5396825396825397,0.2905982905982906,0.3777777777777778,0.3821138211382114,1.188034188034188,0.6763055675442382,0.32369443245576174,2317,750,0.7647058823529411,0.5909090909090909,44,34,123,47,sec_dev_0004
m3_full,19521006,dev,0.0,121,30,0.6666666666666666,0.1652892561983471,0.26490066225165565,0.1527777777777778,0.9586776859504132,0.7073170731707317,0.2926829268292683,1148,336,0.2125,0.85,40,160,72,11,sec_dev_0005
m3_full,19521006,dev,0.7,121,63,0.6031746031746031,0.3140495867768595,0.4130434782608696,0.33076923076923076,1.1322314049586777,0.6860169491525423,0.31398305084745765,2360,741,0.7575757575757576,0.625,40,33,130,43,sec_dev_0005
m3_full,19521006,dev,0.0,106,29,0.7931034482758621,0.2169811320754717,0.34074074074074073,0.2,0.9245283018867925,0.7360824742268042,0.2639175257731959,970,256,0.2682926829268293,0.8,55,164,60,12,sec_dev_0006
m3_full,19521006,dev,0.7,106,66,0.6666666666666666,0.41509433962264153,0.5116279069767442,0.256198347107438,1.0188679245283019,0.7132319041032734,0.2867680958967266,2169,622,0.7105263157894737,0.4909090909090909,55,38,121,31,sec_dev_0006
m3_full,19521006,dev,0.0,107,24,0.625,0.14018691588785046,0.22900763358778625,0.17142857142857143,1.0373831775700935,0.6944954128440367,0.3055045871559633,1090,333,0.29605263157894735,0.8333333333333334,54,152,70,12,sec_dev_0007
m3_full,19521006,dev,0.7,107,58,0.5862068965517241,0.3177570093457944,0.4121212121212121,0.24193548387096775,1.1121495327102804,0.6809787626962143,0.3190212373037858,2166,691,0.717948717948718,0.5185185185185185,54,39,124,30,sec_dev_0007
m3_full,19521006,dev,0.0,109,22,0.5,0.10091743119266056,0.16793893129770993,0.1935483870967742,1.0275229357798166,0.7059471365638766,0.29405286343612336,908,267,0.2254335260115607,0.75,52,173,62,12,sec_dev_0008
m3_full,19521006,dev,0.7,109,54,0.6111111111111112,0.30275229357798167,0.40490797546012275,0.28205128205128205,1.110091743119266,0.6942735447231425,0.30572645527685754,2113,646,0.5957446808510638,0.5384615384615384,52,47,117,33,sec_dev_0008
m3_full,19521006,dev,0.0,110,31,0.7741935483870968,0.21818181818181817,0.34042553191489366,0.2375,0.9727272727272728,0.7365079365079366,0.2634920634920635,1260,332,0.31386861313868614,0.8431372549019608,51,137,80,19,sec_dev_0009
m3_full,19521006,dev,0.7,110,60,0.6833333333333333,0.37272727272727274,0.48235294117647054,0.3170731707317073,1.0545454545454545,0.7092260603410582,0.2907739396589418,2287,665,0.8333333333333334,0.49019607843137253,51,30,123,39,sec_dev_0009
m3_full,19521006,dev,0.0,104,29,0.7931034482758621,0.22115384615384615,0.34586466165413526,0.14285714285714285,0.9230769230769231,0.7472727272727273,0.25272727272727274,1100,278,0.2905405405405405,0.7543859649122807,57,148,70,10,sec_dev_0010
m3_full,19521006,dev,0.7,104,58,0.7586206896551724,0.4230769230769231,0.5432098765432098,0.2204724409448819,0.9615384615384616,0.6981304149566803,0.3018695850433197,2193,662,0.7878787878787878,0.45614035087719296,57,33,127,28,sec_dev_0010
m3_full,19521006,dev,0.0,105,31,0.7096774193548387,0.20952380952380953,0.3235294117647059,0.175,0.9523809523809523,0.7601626016260162,0.23983739837398374,1230,295,0.28888888888888886,0.6964285714285714,56,135,80,14,sec_dev_0011
m3_full,19521006,dev,0.7,105,62,0.6290322580645161,0.37142857142857144,0.4670658682634731,0.31451612903225806,1.0857142857142856,0.7292965271593945,0.27070347284060553,2246,608,0.8620689655172413,0.44642857142857145,56,29,124,39,sec_dev_0011
m3_full,19521006,test,0.0,110,23,0.8260869565217391,0.17272727272727273,0.28571428571428575,0.15254237288135594,0.9363636363636364,0.7555791710945803,0.24442082890541977,941,230,0.23391812865497075,0.7843137254901961,51,171,59,9,sec_test_0000
m3_full,19521006,test,0.7,110,62,0.6290322580645161,0.35454545454545455,0.45348837209302323,0.265625,1.1090909090909091,0.7300177619893429,0.2699822380106572,2252,608,0.7575757575757576,0.49019607843137253,51,33,128,34,sec_test_0000
m3_full,19521006,test,0.0,106,27,0.6296296296296297,0.16037735849056603,0.2556390977443609,0.18571428571428572,1.0,0.7127272727272727,0.2872727272727273,1100,316,0.29333333333333333,0.8,55,150,70,13,sec_test_0001
m3_full,19521006,test,0.7,106,60,0.6166666666666667,0.3490566037735849,0.4457831325301205,0.2809917355371901,1.0471698113207548,0.6791347453808021,0.32086525461919785,2219,712,0.7878787878787878,0.4727272727272727,55,33,121,34,sec_test_0001
m3_full,19521006,test,0.0,114,34,0.6470588235294118,0.19298245614035087,0.29729729729729726,0.3283582089552239,0.9649122807017544,0.6942880128720836,0.3057119871279163,1243,380,0.2361111111111111,0.723404255319149,47,144,67,22,sec_test_0002
m3_full,19521006,test,0.7,114,66,0.6060606060606061,0.3508771929824561,0.4444444444444444,0.34146341463414637,1.0964912280701755,0.6991618879576533,0.30083811204234673,2267,682,0.75,0.574468085106383,47,36,123,42,sec_test_0002
m3_full,19521006,test,0.0,111,29,0.6206896551724138,0.16216216216216217,0.2571428571428572,0.1791044776119403,0.963963963963964,0.7301006404391583,0.2698993595608417,1093,295,0.22435897435897437,0.7,50,156,67,12,sec_test_0003
m3_full,19521006,test,0.7,111,63,0.5714285714285714,0.32432432432432434,0.41379310344827586,0.25203252032520324,1.045045045045045,0.7068730086481565,0.29312699135184345,2197,644,0.625,0.5,50,40,123,31,sec_test_0003
m3_full,19521006,test,0.0,109,36,0.6388888888888888,0.21100917431192662,0.3172413793103448,0.2537313432835821,0.9174311926605505,0.6950527169505272,0.30494728304947283,1233,376,0.2642857142857143,0.7115384615384616,52,140,67,17,sec_test_0004
