seed,split,variant,auc,ci_lo,ci_hi,d_auc_vs_sem,d_ci_lo,d_ci_hi,d_excludes_0,excludes_0.5
19521006,dev,score_total,0.9423009855261284,0.9398371933808793,0.9453025125331365,,,,,
19521006,dev,sem_only,0.9587318706546994,0.9557727075322459,0.9616421148906665,,,,,
19521006,dev,marginal_b_time,0.5,0.5,0.5,,,,,False
19521006,dev,incr_b_time,0.9587318706546994,0.9557727075322459,0.9616421148906665,0.0,0.0,0.0,False,
19521006,dev,marginal_b_motion,0.48931847517950344,0.48408359918431093,0.4947741910893923,,,,,True
19521006,dev,incr_b_motion,0.9581164329143357,0.9551563844638096,0.961042308848088,-0.0006154377403637667,-0.0007450634627173353,-0.0004963302246772716,True,
19521006,dev,marginal_b_state,0.7139102686999835,0.7096559321560643,0.7183682082336156,,,,,True
19521006,dev,incr_b_state,0.9153170501119374,0.9125141052924214,0.9184084080655484,-0.04341482054276202,-0.0460285084862026,-0.04049335596854496,True,
19521006,dev,marginal_b_rel,0.901407063241251,0.8950919893160465,0.9067522047554059,,,,,True
19521006,dev,incr_b_rel,0.9685363669380765,0.9656058407772857,0.9711324740262862,0.009804496283377095,0.006403678413122468,0.012527888325040214,True,
19521006,dev,marginal_b_src,0.5513776437274339,0.5480599766201932,0.5548580087584258,,,,,True
19521006,dev,incr_b_src,0.9563375136043889,0.953343715466109,0.9592161397692336,-0.002394357050310547,-0.0025316684527636026,-0.0022632748206039112,True,
19521006,test,score_total,0.9441630864716941,0.9414625588043418,0.9468708005016332,,,,,
19521006,test,sem_only,0.9620971876517722,0.9597807698080922,0.9645681830690613,,,,,
19521006,test,marginal_b_time,0.5,0.5,0.5,,,,,False
19521006,test,incr_b_time,0.9620971876517722,0.9597807698080922,0.9645681830690613,0.0,0.0,0.0,False,
19521006,test,marginal_b_motion,0.4848388687471876,0.4802796669788094,0.4902659304419816,,,,,True
19521006,test,incr_b_motion,0.9617829610584547,0.9594550734175987,0.9642156231300261,-0.00031422659331747926,-0.00043134716554732444,-0.00021739880263007828,True,
19521006,test,marginal_b_state,0.714716211771724,0.710862141824271,0.7183827959479723,,,,,True
19521006,test,incr_b_state,0.9182732147435824,0.9150102514275984,0.9214313939908682,-0.043823972908189845,-0.04620657134583901,-0.04173230044378534,True,
19521006,test,marginal_b_rel,0.9029581650384138,0.8977244158468244,0.9081276904824535,,,,,True
19521006,test,incr_b_rel,0.9695083818101894,0.9672983973622602,0.9718148248746743,0.007411194158417178,0.00547629814769931,0.00928953202595234,True,
19521006,test,marginal_b_src,0.5547297285084813,0.5506536016243556,0.5591427938519279,,,,,True
19521006,test,incr_b_src,0.9598426955069949,0.9574525335586681,0.9623765379122774,-0.0022544921447773536,-0.002409330852039285,-0.002082932384971428,True,
19521007,dev,score_total,0.9451845863642083,0.9429593233610464,0.9475820400300823,,,,,
19521007,dev,sem_only,0.9653726982947978,0.963373816609514,0.9671850843747745,,,,,
19521007,dev,marginal_b_time,0.5,0.5,0.5,,,,,False
19521007,dev,incr_b_time,0.9653726982947978,0.963373816609514,0.9671850843747745,0.0,0.0,0.0,False,
19521007,dev,marginal_b_motion,0.4893184750574424,0.48371113482370715,0.495247263606634,,,,,True
19521007,dev,incr_b_motion,0.9647395291887181,0.9627759371922054,0.9665850891841413,-0.0006331691060796896,-0.0007554959879346845,-0.000509828196064685,True,
19521007,dev,marginal_b_state,0.7139102686999835,0.709555245470036,0.7185601906422788,,,,,True
19521007,dev,incr_b_state,0.9211369348924192,0.9187836488663772,0.9240168465204245,-0.04423576340237856,-0.04684782674935238,-0.041289392710663064,True,
19521007,dev,marginal_b_rel,0.901407063241251,0.8945197783542874,0.9067506650132555,,,,,True
19521007,dev,incr_b_rel,0.9714619952407154,0.968927388637386,0.9736343548754687,0.006089296945917644,0.0033240940022631477,0.008326600615156474,True,
19521007,dev,marginal_b_src,0.5506930965351999,0.5474956278443424,0.5543342981829092,,,,,True
19521007,dev,incr_b_src,0.9625914974603516,0.9605610884940691,0.9644195322847775,-0.002781200834446218,-0.002893894903935351,-0.0026796238497316634,True,
19521007,test,score_total,0.9471565675924885,0.944616366215401,0.9496172816662358,,,,,
19521007,test,sem_only,0.9682798124435574,0.9662619406810047,0.970316983878538,,,,,
19521007,test,marginal_b_time,0.5,0.5,0.5,,,,,False
19521007,test,incr_b_time,0.9682798124435574,0.9662619406810047,0.970316983878538,0.0,0.0,0.0,False,
19521007,test,marginal_b_motion,0.4848388686344279,0.48047454991394967,0.4903508670337423,,,,,True
19521007,test,incr_b_motion,0.9679458719656279,0.9659052007026178,0.9699626131967066,-0.00033394047792956183,-0.0004551045659585334,-0.00024267026811790053,True,
19521007,test,marginal_b_state,0.714716211771724,0.7106428107462558,0.7182905421987464,,,,,True
19521007,test,incr_b_state,0.923891609159401,0.920720396799379,0.9269272585318195,-0.04438820328415638,-0.04659342269583685,-0.04235763675979386,True,
19521007,test,marginal_b_rel,0.9029581650384138,0.8976927384805491,0.9083647347136594,,,,,True
19521007,test,incr_b_rel,0.9728175935549317,0.9708190805754249,0.9748304419006028,0.004537781111374262,0.003169306863348806,0.005901671588712981,True,
19521007,test,marginal_b_src,0.5539145168630311,0.549834436547812,0.5580355866345038,,,,,True
19521007,test,incr_b_src,0.9656594271614499,0.9634986166979708,0.9678293952501204,-0.002620385282107507,-0.0027725963718689766,-0.0024608854474060696,True,
19521008,dev,score_total,0.9471535231875111,0.9452082498008648,0.9496090587681532,,,,,
19521008,dev,sem_only,0.9671737107645405,0.9651939212882787,0.9692579602167476,,,,,
19521008,dev,marginal_b_time,0.5,0.5,0.5,,,,,False
19521008,dev,incr_b_time,0.9671737107645405,0.9651939212882787,0.9692579602167476,0.0,0.0,0.0,False,
19521008,dev,marginal_b_motion,0.489318475241074,0.4840546581369855,0.49508383082533325,,,,,True
19521008,dev,incr_b_motion,0.9664990503161766,0.9645512250583395,0.9685717645986578,-0.0006746604483639507,-0.0008037315210710049,-0.000547580537085804,True,
19521008,dev,marginal_b_state,0.7139102686999835,0.7096591681123507,0.7186000340291977,,,,,True
19521008,dev,incr_b_state,0.9236687293248222,0.9213066338087438,0.9264371520526727,-0.04350498143971826,-0.04625268673638627,-0.04060354674411425,True,
19521008,dev,marginal_b_rel,0.901407063241251,0.8950784137307449,0.9070548002594867,,,,,True
19521008,dev,incr_b_rel,0.9736581536702997,0.9710290400290137,0.9760850791820439,0.0064844429057592246,0.0039912320877185355,0.008767243199880967,True,
19521008,dev,marginal_b_src,0.5515482239420632,0.5482449770409284,0.5552587928393997,,,,,True
19521008,dev,incr_b_src,0.9641479872864069,0.9621285244098606,0.9662087464093355,-0.0030257234781335685,-0.0032054502656318484,-0.0028623418879019564,True,
19521008,test,score_total,0.9485545789273513,0.9459604415762657,0.9509447286407697,,,,,
19521008,test,sem_only,0.9689296414664054,0.9670934600290955,0.970666593866263,,,,,
19521008,test,marginal_b_time,0.5,0.5,0.5,,,,,False
19521008,test,incr_b_time,0.9689296414664054,0.9670934600290955,0.970666593866263,0.0,0.0,0.0,False,
