seed,knockout,split,decode,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling
19521006,__none__,dev,standard,109.91666666666667,26.833333333333332,0.7054561778908276,0.17455851891043203,0.2792092648761782,0.18148716327774525,0.9774495447965039,0.7305986510864676,0.26940134891353235,1091.8333333333333,293.5,0.26020642190087867,0.7849280082846534,51.083333333333336,154.66666666666666
19521006,__none__,dev,revive,109.91666666666667,60.666666666666664,0.6332442461431268,0.35137509751463686,0.4514937225654398,0.28797533187108404,1.0820944241488335,0.7024287951429682,0.2975712048570319,2222.5833333333335,661.8333333333334,0.7436855738076469,0.5272244190244153,51.083333333333336,36.25
19521006,__none__,test,standard,108.84615384615384,27.692307692307693,0.6994438801146453,0.17506666519052907,0.27821154501615597,0.2037714436307598,0.9775294652908928,0.7239333717261525,0.27606662827384754,1095.923076923077,303.3076923076923,0.25406153325074576,0.7421917396589889,52.15384615384615,153.46153846153845
19521006,__none__,test,revive,108.84615384615384,59.92307692307692,0.6391040652695389,0.3529258995429056,0.45414373243895806,0.2880654611862275,1.0685353682453242,0.7066291634084609,0.2933708365915392,2204.5384615384614,646.9230769230769,0.7185631929012088,0.505969014527219,52.15384615384615,37.15384615384615
19521006,time,dev,standard,109.91666666666667,26.833333333333332,0.7054561778908276,0.17455851891043203,0.2792092648761782,0.18148716327774525,0.9774495447965039,0.7305986510864676,0.26940134891353235,1091.8333333333333,293.5,0.26020642190087867,0.7849280082846534,51.083333333333336,154.66666666666666
19521006,time,dev,revive,109.91666666666667,60.666666666666664,0.6332442461431268,0.35137509751463686,0.4514937225654398,0.28797533187108404,1.0820944241488335,0.7024287951429682,0.2975712048570319,2222.5833333333335,661.8333333333334,0.7436855738076469,0.5272244190244153,51.083333333333336,36.25
19521006,time,test,standard,108.84615384615384,27.692307692307693,0.6994438801146453,0.17506666519052907,0.27821154501615597,0.2037714436307598,0.9775294652908928,0.7239333717261525,0.27606662827384754,1095.923076923077,303.3076923076923,0.25406153325074576,0.7421917396589889,52.15384615384615,153.46153846153845
19521006,time,test,revive,108.84615384615384,59.92307692307692,0.6391040652695389,0.3529258995429056,0.45414373243895806,0.2880654611862275,1.0685353682453242,0.7066291634084609,0.2933708365915392,2204.5384615384614,646.9230769230769,0.7185631929012088,0.505969014527219,52.15384615384615,37.15384615384615
19521006,motion,dev,standard,109.91666666666667,26.916666666666668,0.7069383913295627,0.1752959820372757,0.28031674490522684,0.1810936939276363,0.9774628324204112,0.7306848485284827,0.2693151514715174,1094.1666666666667,294.0,0.26065344734928503,0.7849280082846534,51.083333333333336,154.41666666666666
19521006,motion,dev,revive,109.91666666666667,60.666666666666664,0.6319001601216215,0.35058144672098607,0.4504957185734238,0.2875842088669877,1.0843966485554157,0.7022917286992962,0.2977082713007037,2222.4166666666665,662.0833333333334,0.7436855738076469,0.5272244190244153,51.083333333333336,36.25
19521006,motion,test,standard,108.84615384615384,27.76923076923077,0.6979260492864696,0.1751055414086506,0.2781189184529412,0.20360261701097923,0.9781653529054298,0.7241792534322955,0.27582074656770456,1101.0,304.61538461538464,0.25406712704090495,0.7392848426344447,52.15384615384615,152.92307692307693
19521006,motion,test,revive,108.84615384615384,59.92307692307692,0.6391040652695389,0.3529258995429056,0.45414373243895806,0.2882318958530556,1.0691984982187992,0.7065029380286268,0.2934970619713733,2205.3846153846152,647.4615384615385,0.7202438651701164,0.505969014527219,52.15384615384615,37.07692307692308
19521006,state,dev,standard,109.91666666666667,14.083333333333334,0.6396498449807274,0.08269002355248824,0.14548276384393208,0.17208935723160523,0.9959455543261647,0.7476420642010727,0.25235793579892724,603.0833333333334,153.91666666666666,0.21527045184475657,0.8647436858302258,51.083333333333336,206.58333333333334
19521006,state,dev,revive,109.91666666666667,48.666666666666664,0.6081405212178127,0.2697461436519588,0.37340174814601795,0.2529969573713539,1.0878938028719678,0.7274969024356962,0.2725030975643038,1898.0833333333333,517.75,0.447179382657749,0.6005545819896955,51.083333333333336,69.5
19521006,state,test,standard,108.84615384615384,14.846153846153847,0.7050075952731346,0.09413435273011933,0.1641768355895357,0.20220445432393058,0.9881751143943703,0.7260578324138062,0.2739421675861938,630.4615384615385,173.15384615384616,0.21742400746114685,0.841615749874324,52.15384615384615,202.76923076923077
19521006,state,test,revive,108.84615384615384,46.07692307692308,0.6546570925730552,0.2766742460045727,0.3882348027735413,0.2370540963383731,1.056525765862189,0.7339261874898791,0.26607381251012074,1837.6923076923076,490.3076923076923,0.4095500967230657,0.5753295518327823,52.15384615384615,74.76923076923077
19521006,rel,dev,standard,109.91666666666667,21.666666666666668,0.6893875716754524,0.13524826970295853,0.22556545128752817,0.17356791005758643,0.9860433603709627,0.7441464105679648,0.25585358943203507,879.0833333333334,225.58333333333334,0.2386341775955982,0.8241409914168095,51.083333333333336,177.25
19521006,rel,dev,revive,109.91666666666667,56.916666666666664,0.6374659510337649,0.33193128672963046,0.43630333242961433,0.2697535029494062,1.0787784322162761,0.7099440071444675,0.29005599285553246,2122.8333333333335,616.0833333333334,0.6028897960764344,0.5490000251692165,51.083333333333336,46.333333333333336
19521006,rel,test,standard,108.84615384615384,21.53846153846154,0.7180989676846152,0.13865990256340843,0.23029095461475788,0.20694091581577462,0.979646879758894,0.7279906195483269,0.27200938045167306,886.8461538461538,243.0,0.23689921470139047,0.7920742022906635,52.15384615384615,175.53846153846155
19521006,rel,test,revive,108.84615384615384,56.38461538461539,0.654854119819232,0.3390900056213578,0.4462779204168831,0.2763581687135756,1.0467671664594744,0.7115748073730336,0.28842519262696636,2103.076923076923,607.2307692307693,0.5850798011346419,0.5238717603512053,52.15384615384615,47.53846153846154
19521006,src,dev,standard,109.91666666666667,7.666666666666667,0.6276751026751027,0.041824381083949314,0.0773374713605582,0.16322379715646848,1.0032737482082659,0.7529754943728775,0.2470245056271226,384.5833333333333,99.16666666666667,0.204475241366595,0.9155924976248763,51.083333333333336,229.75
19521006,src,dev,revive,109.91666666666667,41.833333333333336,0.6420067676506647,0.24590224970526361,0.3549456446906276,0.2225495713752894,1.0650968544385049,0.7330284440142588,0.2669715559857411,1717.75,459.75,0.3740676946574697,0.6438117677140786,51.083333333333336,88.08333333333333
19521006,src,test,standard,108.84615384615384,8.615384615384615,0.7351413543721237,0.05653749716864546,0.10367716911482962,0.15606898019263238,0.9890109521291014,0.7595176706780555,0.2404823293219444,397.84615384615387,97.92307692307692,0.20794267792248095,0.9034220934162289,52.15384615384615,227.23076923076923
19521006,src,test,revive,108.84615384615384,42.23076923076923,0.6675951600323559,0.258510558728176,0.37090544168012,0.21624985764648413,1.0288996102204346,0.7331909087455544,0.2668090912544456,1691.1538461538462,452.9230769230769,0.3561047076212549,0.6036188989620048,52.15384615384615,90.07692307692308
19521007,__none__,dev,standard,109.91666666666667,14.75,0.7047508756293587,0.09808388731098727,0.17050970648784322,0.17691835770351558,0.9757214872218473,0.7490947276411964,0.25090527235880367,659.75,169.91666666666666,0.2232610936028556,0.8696905353118498,51.083333333333336,200.5
19521007,__none__,dev,revive,109.91666666666667,50.333333333333336,0.6383830562501195,0.2929579742956243,0.4009906864850625,0.26660542039033663,1.0948637398663896,0.7124508550117641,0.28754914498823575,2006.25,577.5833333333334,0.506686508841678,0.5713458499547802,51.083333333333336,58.5
