variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
no_state,dev,trajectory_consistency_rate,+0.0067,+,YES,1.48,0.2128,+0.0001,+0.0007,+0.0081,+0.0007,+0.0238
no_state,dev,dangling_precision,-0.0460,-,no,-0.97,0.3850,-0.0548,-0.1003,+0.0276,+0.0830,-0.1853
no_state,dev,dangling_recall,+0.0137,+,no,1.39,0.2361,+0.0206,+0.0005,-0.0045,+0.0026,+0.0491
no_state,test,precision,+0.0025,+,no,0.35,0.7438,+0.0022,+0.0242,-0.0166,+0.0106,-0.0080
no_state,test,recall,-0.0143,-,no,-1.09,0.3362,-0.0351,+0.0049,-0.0124,+0.0217,-0.0506
no_state,test,f1,-0.0111,-,no,-0.93,0.4042,-0.0287,+0.0111,-0.0145,+0.0202,-0.0437
no_state,test,wrong_merge_rate,-0.0026,-,no,-0.24,0.8214,-0.0173,-0.0030,+0.0329,+0.0049,-0.0305
no_state,test,fragmentation_rate,-0.0045,-,no,-0.30,0.7824,-0.0019,-0.0604,+0.0247,-0.0052,+0.0204
no_state,test,impossible_transition_rate,+0.0010,+,no,0.20,0.8547,+0.0075,+0.0009,+0.0126,+0.0022,-0.0182
no_state,test,trajectory_consistency_rate,-0.0010,-,no,-0.20,0.8547,-0.0075,-0.0009,-0.0126,-0.0022,+0.0182
no_state,test,dangling_precision,-0.0611,-,no,-1.21,0.2916,-0.1161,-0.1028,+0.0251,+0.0828,-0.1945
no_state,test,dangling_recall,+0.0136,+,no,2.06,0.1088,+0.0134,+0.0235,-0.0023,+0.0009,+0.0328
no_rel,dev,precision,+0.0167,+,no,2.82,0.0478,+0.0159,-0.0054,+0.0205,+0.0238,+0.0289
no_rel,dev,recall,-0.0033,-,no,-0.23,0.8304,-0.0124,-0.0172,+0.0284,+0.0298,-0.0451
no_rel,dev,f1,+0.0014,+,no,0.12,0.9097,-0.0056,-0.0150,+0.0280,+0.0300,-0.0302
no_rel,dev,wrong_merge_rate,+0.0020,+,no,0.48,0.6588,-0.0017,+0.0181,-0.0052,+0.0008,-0.0021
no_rel,dev,fragmentation_rate,-0.0140,-,no,-1.11,0.3302,+0.0105,+0.0128,-0.0529,-0.0324,-0.0080
no_rel,dev,impossible_transition_rate,-0.0018,-,no,-0.47,0.6655,-0.0079,+0.0029,-0.0032,+0.0102,-0.0108
no_rel,dev,trajectory_consistency_rate,+0.0018,+,no,0.47,0.6655,+0.0079,-0.0029,+0.0032,-0.0102,+0.0108
no_rel,dev,dangling_precision,-0.0133,-,no,-0.25,0.8127,-0.0523,-0.0380,+0.0948,+0.1071,-0.1783
no_rel,dev,dangling_recall,+0.0109,+,no,0.71,0.5185,-0.0057,+0.0002,-0.0095,-0.0027,+0.0725
no_rel,test,precision,+0.0080,+,no,0.73,0.5034,+0.0413,+0.0191,-0.0007,+0.0051,-0.0247
no_rel,test,recall,-0.0041,-,no,-0.30,0.7769,+0.0135,-0.0019,+0.0150,+0.0096,-0.0565
no_rel,test,f1,-0.0014,-,no,-0.10,0.9218,+0.0215,+0.0044,+0.0113,+0.0091,-0.0532
no_rel,test,wrong_merge_rate,-0.0054,-,no,-0.84,0.4478,-0.0301,+0.0026,+0.0056,-0.0018,-0.0032
no_rel,test,fragmentation_rate,-0.0005,-,no,-0.04,0.9728,-0.0514,+0.0050,-0.0058,+0.0152,+0.0344
no_rel,test,impossible_transition_rate,+0.0006,+,no,0.19,0.8615,-0.0081,-0.0003,+0.0111,+0.0037,-0.0033
no_rel,test,trajectory_consistency_rate,-0.0006,-,no,-0.19,0.8615,+0.0081,+0.0003,-0.0111,-0.0037,+0.0033
no_rel,test,dangling_precision,-0.0217,-,no,-0.41,0.7011,-0.0861,-0.0398,+0.0740,+0.1160,-0.1728
no_rel,test,dangling_recall,+0.0083,+,no,0.78,0.4776,-0.0023,+0.0220,-0.0144,-0.0069,+0.0431
no_src,dev,precision,+0.0148,+,YES,2.95,0.0421,+0.0229,+0.0007,+0.0281,+0.0070,+0.0151
no_src,dev,recall,-0.0074,-,no,-0.93,0.4060,-0.0210,-0.0154,+0.0016,+0.0196,-0.0218
no_src,dev,f1,-0.0018,-,no,-0.28,0.7923,-0.0106,-0.0124,+0.0100,+0.0173,-0.0134
no_src,dev,wrong_merge_rate,-0.0100,-,no,-2.37,0.0771,-0.0129,-0.0031,-0.0233,+0.0011,-0.0119
no_src,dev,fragmentation_rate,-0.0075,-,no,-0.55,0.6134,+0.0058,+0.0033,-0.0487,-0.0271,+0.0294
no_src,dev,impossible_transition_rate,-0.0095,-,no,-1.85,0.1388,-0.0158,+0.0047,-0.0193,+0.0012,-0.0182
no_src,dev,trajectory_consistency_rate,+0.0095,+,no,1.85,0.1388,+0.0158,-0.0047,+0.0193,-0.0012,+0.0182
no_src,dev,dangling_precision,-0.0401,-,no,-1.19,0.3015,-0.0538,-0.1152,-0.0662,+0.0872,-0.0524
no_src,dev,dangling_recall,+0.0119,+,no,2.33,0.0798,+0.0215,-0.0028,+0.0128,+0.0040,+0.0242
no_src,test,precision,-0.0013,-,no,-0.17,0.8748,-0.0030,-0.0019,-0.0030,+0.0257,-0.0245
no_src,test,recall,-0.0147,-,no,-1.55,0.1963,-0.0232,-0.0172,-0.0210,+0.0216,-0.0339
no_src,test,f1,-0.0123,-,no,-1.27,0.2734,-0.0199,-0.0138,-0.0178,+0.0240,-0.0340
no_src,test,wrong_merge_rate,-0.0080,-,no,-2.27,0.0858,-0.0080,-0.0133,+0.0056,-0.0116,-0.0127
no_src,test,fragmentation_rate,-0.0003,-,no,-0.03,0.9777,-0.0128,-0.0233,+0.0124,-0.0095,+0.0318
no_src,test,impossible_transition_rate,-0.0069,-,YES,-4.53,0.0106,-0.0046,-0.0056,-0.0054,-0.0061,-0.0130
no_src,test,trajectory_consistency_rate,+0.0069,+,YES,4.53,0.0106,+0.0046,+0.0056,+0.0054,+0.0061,+0.0130
no_src,test,dangling_precision,-0.0684,-,no,-1.58,0.1885,-0.0693,-0.1724,-0.1145,+0.0878,-0.0738
no_src,test,dangling_recall,+0.0144,+,YES,3.69,0.0210,+0.0237,+0.0151,+0.0208,+0.0016,+0.0109
