model,split,metric,mean,std,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
no_state,test,recall,0.4389,0.0311,0.4088,0.4761,0.4321,0.4665,0.4113
no_state,test,f1,0.5549,0.0276,0.5293,0.5924,0.5412,0.5758,0.5360
no_state,test,wrong_merge_rate,0.2169,0.0291,0.2033,0.2053,0.2566,0.2360,0.1833
no_state,test,fragmentation_rate,0.8727,0.0543,0.8797,0.7858,0.9360,0.8841,0.8780
no_state,test,impossible_transition_rate,0.2953,0.0135,0.2964,0.2860,0.3130,0.3025,0.2786
no_state,test,trajectory_consistency_rate,0.7047,0.0135,0.7036,0.7140,0.6870,0.6975,0.7214
no_state,test,dangling_precision,0.6430,0.1506,0.5097,0.6372,0.7992,0.7899,0.4789
no_state,test,dangling_recall,0.5156,0.0191,0.5280,0.5219,0.4939,0.4973,0.5370
no_rel,dev,precision,0.7601,0.0098,0.7709,0.7593,0.7446,0.7603,0.7652
no_rel,dev,recall,0.4470,0.0284,0.4390,0.4440,0.4781,0.4685,0.4056
no_rel,dev,f1,0.5615,0.0213,0.5587,0.5598,0.5815,0.5792,0.5285
no_rel,dev,wrong_merge_rate,0.2175,0.0112,0.2055,0.2227,0.2293,0.2244,0.2055
no_rel,dev,fragmentation_rate,0.8753,0.0103,0.8686,0.8802,0.8670,0.8912,0.8695
no_rel,dev,impossible_transition_rate,0.2904,0.0114,0.2791,0.2825,0.3008,0.3045,0.2854
no_rel,dev,trajectory_consistency_rate,0.7096,0.0114,0.7209,0.7175,0.6992,0.6955,0.7146
no_rel,dev,dangling_precision,0.6638,0.1531,0.5432,0.6467,0.8251,0.8143,0.4897
no_rel,dev,dangling_recall,0.5321,0.0327,0.5268,0.5429,0.5036,0.5045,0.5828
no_rel,test,precision,0.7638,0.0220,0.7934,0.7800,0.7422,0.7470,0.7565
no_rel,test,recall,0.4492,0.0251,0.4573,0.4693,0.4594,0.4544,0.4054
no_rel,test,f1,0.5647,0.0230,0.5796,0.5857,0.5671,0.5647,0.5265
no_rel,test,wrong_merge_rate,0.2141,0.0161,0.1905,0.2109,0.2293,0.2294,0.2107
